ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_LAT,ORIGIN_LONG,total_departures,avg_dep_delay,avg_arr_delay,median_dep_delay,delay_rate,avg_taxi_out,unique_airlines,unique_destinations,delay_rate_pct,on_time_rate_pct,cancelled_flights
ABE,Lehigh Valley International Airport,Allentown,PA,40.65,-75.44,39,18.72,14.54,-1.0,0.15,12.59,2,3,15.38,84.62,2
ABI,Abilene Regional Airport,Abilene,TX,32.41,-99.68,37,14.27,10.7,-1.0,0.24,8.43,1,1,24.32,75.68,3
ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04,-106.61,340,7.26,3.5,-2.0,0.15,12.14,10,23,15.04,84.96,5
ABR,Aberdeen Regional Airport,Aberdeen,SD,45.45,-98.42,9,-0.33,-3.67,-3.0,0.11,15.22,1,1,11.11,88.89,0
ABY,Southwest Georgia Regional Airport,Albany,GA,31.54,-84.19,15,-2.93,-3.73,-5.0,0.07,12.0,1,1,6.67,93.33,0
ACK,Nantucket Memorial Airport,Nantucket,MA,41.25,-70.06,8,0.38,-4.75,-1.5,0.12,17.88,1,3,12.5,87.5,0
ACT,Waco Regional Airport,Waco,TX,31.61,-97.23,22,22.32,22.09,-2.0,0.32,8.64,2,1,31.82,68.18,2
ACV,Arcata Airport,Arcata/Eureka,CA,40.98,-124.11,32,18.72,15.5,-4.0,0.22,13.12,1,1,21.88,78.12,0
ACY,Atlantic City International Airport,Atlantic City,NJ,39.46,-74.58,54,8.98,12.63,-4.0,0.22,14.26,1,10,22.22,77.78,0
ADQ,Kodiak Airport,Kodiak,AK,57.75,-152.49,6,-1.0,4.83,-2.0,0.0,11.5,1,1,0.0,100.0,0
AEX,Alexandria International Airport,Alexandria,LA,31.33,-92.55,52,3.88,2.46,-5.0,0.19,13.0,2,3,19.23,80.77,0
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,33.37,-81.96,48,0.83,-1.5,-3.5,0.12,14.71,3,1,12.5,87.5,0
ALB,Albany International Airport,Albany,NY,42.75,-73.8,112,7.32,-2.45,-2.0,0.13,13.61,8,12,13.39,86.61,1
ALO,Waterloo Regional Airport,Waterloo,IA,42.56,-92.4,10,33.0,40.9,-4.0,0.3,14.2,1,1,30.0,70.0,0
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,35.22,-101.71,78,5.46,6.01,-2.0,0.15,11.13,4,5,15.38,84.62,2
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,61.17,-150.0,252,5.61,0.04,-3.0,0.11,12.52,6,26,11.24,88.76,4
APN,Alpena County Regional Airport,Alpena,MI,45.08,-83.56,6,-8.5,-10.33,-10.5,0.0,15.0,1,1,0.0,100.0,0
ASE,Aspen-Pitkin County Airport,Aspen,CO,39.22,-106.87,59,17.64,12.21,-2.0,0.29,14.39,2,7,29.31,70.69,3
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64,-84.43,5872,9.07,2.7,-1.0,0.15,17.33,11,153,15.29,84.71,53
ATW,Appleton International Airport,Appleton,WI,44.26,-88.52,44,-2.41,-2.25,-4.0,0.14,15.86,3,4,13.64,86.36,3
AUS,Austin-Bergstrom International Airport,Austin,TX,30.19,-97.67,784,10.4,5.0,-1.0,0.17,12.45,11,39,17.11,82.89,11
AVL,Asheville Regional Airport,Asheville,NC,35.44,-82.54,43,7.42,3.19,-2.0,0.19,16.49,3,3,18.6,81.4,2
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.34,-75.72,16,5.0,3.44,-5.5,0.12,13.56,2,3,12.5,87.5,1
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.23,-85.55,29,-6.69,-7.38,-8.0,0.1,14.07,3,3,10.34,89.66,0
BDL,Bradley International Airport,Windsor Locks,CT,41.94,-72.68,325,9.23,1.75,-2.0,0.14,13.34,9,23,13.62,86.38,7
BET,Bethel Airport,Bethel,AK,60.78,-161.84,11,-9.64,-7.18,-8.0,0.0,7.91,1,1,0.0,100.0,0
BFL,Meadows Field,Bakersfield,CA,35.43,-119.06,49,3.35,1.84,-7.0,0.16,15.06,1,4,16.33,83.67,0
BGM,Greater Binghamton Airport,Binghamton,NY,42.21,-75.98,4,16.25,13.75,2.0,0.5,11.5,2,1,50.0,50.0,0
BGR,Bangor International Airport,Bangor,ME,44.81,-68.83,5,-4.0,-2.4,-5.0,0.0,14.8,2,1,0.0,100.0,0
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56,-86.75,218,9.85,4.11,-1.0,0.16,12.55,6,15,16.13,83.87,2
BIL,Billings Logan International Airport,Billings,MT,45.81,-108.54,51,0.16,-5.04,-4.0,0.1,11.78,4,4,9.8,90.2,1
BIS,Bismarck Municipal Airport,Bismarck,ND,46.77,-100.75,49,4.37,4.02,-4.0,0.16,17.12,4,4,16.33,83.67,0
BJI,Bemidji Regional Airport,Bemidji,MN,47.51,-94.93,6,-4.67,-10.67,-5.0,0.0,18.17,1,1,0.0,100.0,0
BLI,Bellingham International Airport,Bellingham,WA,48.79,-122.54,15,12.8,9.53,-7.0,0.07,12.6,1,4,6.67,93.33,0
