AIRLINE,AIRLINE_NAME,MONTH,MONTH_NAME,total_flights,avg_air_system_delay,avg_security_delay,avg_airline_delay,avg_late_aircraft_delay,avg_weather_delay,total_air_system_delay,total_airline_delay,total_late_aircraft_delay,total_weather_delay,total_security_delay
AA,American Airlines Inc.,1,January,720,2.47,0.0,3.57,6.3,0.67,1779.0,2570.0,4535.0,481.0,0.0
AA,American Airlines Inc.,2,February,623,4.02,0.26,4.35,4.29,1.71,2504.0,2712.0,2670.0,1063.0,161.0
AA,American Airlines Inc.,3,March,785,2.93,0.12,3.96,3.85,0.27,2298.0,3110.0,3019.0,214.0,93.0
AA,American Airlines Inc.,4,April,798,3.16,0.0,3.59,5.22,0.51,2518.0,2864.0,4165.0,410.0,0.0
AA,American Airlines Inc.,5,May,753,2.5,0.0,3.56,5.03,2.31,1886.0,2678.0,3787.0,1742.0,0.0
AA,American Airlines Inc.,6,June,761,2.75,0.0,4.46,6.97,0.73,2093.0,3394.0,5302.0,559.0,0.0
AA,American Airlines Inc.,7,July,1405,2.37,0.01,5.14,5.48,0.43,3332.0,7217.0,7697.0,602.0,10.0
AA,American Airlines Inc.,8,August,1338,2.88,0.07,3.03,4.36,0.45,3858.0,4054.0,5840.0,599.0,99.0
AA,American Airlines Inc.,9,September,1304,1.34,0.02,6.24,2.41,0.45,1748.0,8143.0,3148.0,588.0,29.0
AA,American Airlines Inc.,10,October,1355,1.96,0.01,3.98,2.98,0.5,2652.0,5387.0,4034.0,683.0,12.0
AA,American Airlines Inc.,11,November,1271,2.32,0.02,2.66,2.74,0.52,2944.0,3386.0,3479.0,665.0,25.0
AA,American Airlines Inc.,12,December,1304,2.77,0.02,5.2,3.11,0.39,3616.0,6777.0,4054.0,513.0,26.0
AS,Alaska Airlines Inc.,1,January,225,1.09,0.0,0.93,2.36,0.0,246.0,210.0,532.0,0.0,0.0
AS,Alaska Airlines Inc.,2,February,205,1.17,0.0,4.65,1.33,0.55,239.0,954.0,272.0,112.0,0.0
AS,Alaska Airlines Inc.,3,March,230,1.39,0.0,1.47,4.27,0.0,319.0,337.0,982.0,0.0,0.0
AS,Alaska Airlines Inc.,4,April,255,1.46,0.0,0.54,1.64,0.06,373.0,138.0,417.0,15.0,0.0
AS,Alaska Airlines Inc.,5,May,262,1.27,0.06,1.51,0.93,0.0,333.0,395.0,243.0,0.0,16.0
AS,Alaska Airlines Inc.,6,June,237,0.91,0.0,3.49,3.35,0.37,216.0,827.0,795.0,88.0,0.0
AS,Alaska Airlines Inc.,7,July,284,2.11,0.0,1.64,2.31,0.0,598.0,465.0,656.0,0.0,0.0
AS,Alaska Airlines Inc.,8,August,283,2.54,0.0,4.28,2.45,0.0,719.0,1212.0,692.0,0.0,0.0
AS,Alaska Airlines Inc.,9,September,255,1.75,0.12,3.98,0.63,0.13,447.0,1014.0,160.0,33.0,30.0
AS,Alaska Airlines Inc.,10,October,262,1.76,0.0,2.41,1.9,0.0,460.0,631.0,497.0,0.0,0.0
AS,Alaska Airlines Inc.,11,November,222,1.91,0.0,3.48,1.41,0.0,423.0,773.0,312.0,0.0,0.0
AS,Alaska Airlines Inc.,12,December,228,1.98,0.11,1.82,0.62,0.0,452.0,416.0,141.0,0.0,24.0
B6,JetBlue Airways,1,January,357,4.34,0.0,4.46,5.69,0.27,1550.0,1594.0,2030.0,96.0,0.0
B6,JetBlue Airways,2,February,321,6.24,0.44,6.62,9.81,1.86,2003.0,2125.0,3150.0,597.0,142.0
B6,JetBlue Airways,3,March,344,8.33,0.06,2.51,9.09,0.07,2867.0,865.0,3128.0,23.0,22.0
