DAY_OF_WEEK,DAY_NAME,DEP_HOUR,TIME_OF_DAY,flight_count,avg_dep_delay,avg_arr_delay,delay_rate,delay_rate_pct
1,Monday,0,Night,37,22.0,20.27,0.32,32.43
1,Monday,1,Night,13,3.31,-1.15,0.15,15.38
1,Monday,2,Night,3,-6.0,-1.67,0.33,33.33
1,Monday,4,Night,1,-5.0,-15.0,0.0,0.0
1,Monday,5,Morning,330,7.87,2.85,0.1,9.76
1,Monday,6,Morning,1053,3.19,-1.78,0.08,7.63
1,Monday,7,Morning,1002,3.78,-0.64,0.12,11.62
1,Monday,8,Morning,913,6.65,1.33,0.13,12.83
1,Monday,9,Morning,905,8.06,4.08,0.15,15.3
1,Monday,10,Morning,913,7.18,2.24,0.15,15.13
1,Monday,11,Morning,909,9.31,4.49,0.16,16.45
1,Monday,12,Afternoon,892,11.45,6.62,0.19,19.37
1,Monday,13,Afternoon,978,11.25,7.17,0.18,18.36
1,Monday,14,Afternoon,804,14.73,10.03,0.23,23.19
1,Monday,15,Afternoon,934,13.99,9.99,0.25,24.52
1,Monday,16,Afternoon,872,13.7,9.72,0.21,20.9
1,Monday,17,Evening,958,14.16,9.22,0.22,22.04
1,Monday,18,Evening,806,16.58,11.83,0.26,26.18
1,Monday,19,Evening,845,15.5,10.9,0.25,24.97
1,Monday,20,Evening,641,17.15,11.56,0.26,25.82
1,Monday,21,Night,485,14.08,9.06,0.24,23.6
1,Monday,22,Night,292,16.0,10.98,0.22,22.34
1,Monday,23,Night,100,7.43,-1.84,0.11,11.0
2,Tuesday,0,Night,33,8.0,-1.21,0.24,24.24
2,Tuesday,1,Night,8,13.5,5.12,0.38,37.5
2,Tuesday,2,Night,3,14.67,13.33,0.67,66.67
2,Tuesday,3,Night,1,-15.0,-16.0,0.0,0.0
2,Tuesday,4,Night,1,10.0,14.0,0.0,0.0
2,Tuesday,5,Morning,322,0.96,-4.52,0.07,7.48
2,Tuesday,6,Morning,1042,2.52,-1.6,0.1,9.62
2,Tuesday,7,Morning,966,2.5,-1.69,0.1,9.76
2,Tuesday,8,Morning,938,5.16,0.89,0.13,12.83
2,Tuesday,9,Morning,844,5.73,1.16,0.15,15.08
2,Tuesday,10,Morning,911,5.79,1.22,0.16,15.82
2,Tuesday,11,Morning,911,9.15,4.37,0.19,18.65
2,Tuesday,12,Afternoon,848,7.13,1.99,0.16,16.37
2,Tuesday,13,Afternoon,922,10.35,6.06,0.21,20.87
2,Tuesday,14,Afternoon,816,10.82,6.27,0.22,21.65
2,Tuesday,15,Afternoon,920,11.6,6.74,0.22,22.36
2,Tuesday,16,Afternoon,793,12.91,7.78,0.23,22.63
2,Tuesday,17,Evening,965,14.96,10.16,0.23,23.11
2,Tuesday,18,Evening,798,12.87,7.19,0.24,23.84
2,Tuesday,19,Evening,835,15.42,10.61,0.25,24.85
2,Tuesday,20,Evening,646,13.75,7.76,0.23,23.26
2,Tuesday,21,Night,452,11.94,6.45,0.22,21.6
