MONTH,MONTH_NAME,total_flights,cancelled_flights,diverted_flights,avg_departure_delay,avg_arrival_delay,total_delay_minutes,avg_air_system_delay,avg_airline_delay,avg_weather_delay,avg_late_aircraft_delay,cancellation_rate_pct,on_time_rate_pct
1,January,8102,220,16,9.45,5.29,100244.0,2.67,3.3,0.48,4.73,2.72,79.59
2,February,7440,330,17,11.7,8.28,106593.0,3.1,3.98,0.86,5.13,4.44,77.52
3,March,8581,193,20,9.54,4.81,101497.0,2.54,3.42,0.41,4.22,2.25,80.81
4,April,8391,75,23,7.77,3.22,89778.0,2.44,2.77,0.4,3.87,0.89,83.02
5,May,8644,100,33,9.2,4.09,101734.0,2.26,3.48,0.66,4.25,1.16,82.65
6,June,8684,157,34,13.4,9.01,131643.0,3.14,4.21,0.73,5.91,1.81,77.14
7,July,8927,79,25,12.31,7.22,126607.0,2.74,4.47,0.47,5.46,0.88,78.61
8,August,8630,89,26,9.79,4.72,104431.0,2.57,3.54,0.45,4.46,1.03,81.68
9,September,8058,33,5,5.47,-0.14,69129.0,1.83,2.96,0.34,2.5,0.41,87.23
10,October,8203,43,20,5.18,-0.36,66941.0,1.63,2.54,0.32,2.64,0.52,87.89
11,November,8049,83,13,6.38,0.57,73240.0,2.1,2.55,0.33,3.02,1.03,85.71
12,December,8291,152,19,12.0,6.34,116241.0,2.77,4.11,0.77,5.26,1.83,79.43
